2|gulp-symdest does not preserve links on electron|-1
3|Omnisharp not included in Linux build|-1
4|C# bracket insertion, indentation not working|-1
5|welcome.md packaged wrongly|-1
6|Windows only - OmniSharp does not provide IntelliSense for strong named assemblies|-1
7|Can't run from dev [osx]|-1
8|Flash between opening of workspaces, reload|-1
9|Extension development: null and undefined values not printed to debug repl|-1
10|Cannot find module 'sinon' when running test/run.sh from terminal|-1
12|[clojure] Block comment is not colored any different|-1
13|Bad coloring in Kimbie dark theme for some languages|-1
14|C#: Line/Block comment does not work|-1
15|CSS: toggle line comment is not preserving|-1
16|[f#] Block comment not colored as comment|-1
17|HTML: Not auto-closing quotes when typing attributes|-1
18|Python: Block comment is three single quotes and not two|0
20|[ruby] the mode failed to tokenize the input|-1
21|[vb] Block comment is not colored|-1
22|Development Environment Improvements (code.bat/code.sh)|1
23|[xml] Element and attribute in light and dark theme use same colors|0
24|TypeScript: Error: Promise did not implement oncancel(…)|-1
25|Languageconf fixes|0
26|https://twitter.com/code uses a Visual Studio icon which is confusing|-1
27|Bundled files don't have a top copyright statement|-1
28|No blue icon on linux|-1
29|"Send a smile > ""Submit a bug"" should open Github repo"|0
30|Variables in local window stop stop updating their value when stepping through code quickly|-1
31|Extension uninstall leaves empty directories behind|0
33|build errors: vscode.d.ts is not found|-1
34|Javascript - regular expressions are not colored - Javascript mode instantiated twice|-1
36|[Git] weird indicator for renamed file|-1
37|"vscode ""--extensionHomePath"" option does not work when used with the vscode proxy"|-1
38|activeTextEditor not correct while the extension is activated|-1
39|broken selection feedback when selecting bold text in markdown files|-1
40|Expected treatment of threads in debug viewlet UI?|0
42|Document symbols are duplicated|0
43|VSCODE|0
46|Disabling telemetry before first run does not work|-1
47|Commenting using ctrl+k,ctrl+c does not work for JSX files|-1
48|Running Code should open a new instance, not activate a currently opened one|-1
49|Fix typo particpate -> participate|0
50|Crash when opening Code via the command line|-1
52|Interpolation strings don't have colouring|-1
54|ES6 jsconfig.json error|-1
55|Searching large projects is too slow|-1
57|Git integration doesn't work if the open folder in a sub-folder of a git repository|-1
58|Provide API to open a new folder|0
59|Cannot attach debugger to a node.js application running inside a Docker container|-1
61|Fix small typo|0
62|Go to definition and navigate back puts cursor in wrong spot|-1
63|File Search got stuck with a great number of files|-1
64|Rounded selection seems broken due to current word highlight|-1
66|Git conflict highlighting can get messed up easily|-1
67|Electron-Build has wrong filename for the .exe|-1
68|Git: Support git history in VSCode|0
71|[xml] provide a formatter|0
72|Add text/ng-template to the HTML mime types|0
73|add support for TFVC in on-premise TFS resp. Visual Studio Team Services|1
75|Allow overriding hardcoded jsconfig/tsconfig defaults|0
77|Simplify shell command for Linux and OS X|1
78|use .gitignore to ignore search inside files and folders|0
79|"Getting ""Visual Studio Code has crashed"" a few times"|-1
81|react file with .js extension and JavaScript React language doesn't work very well|-1
82|Extension docs page gives a 404|-1
83|"Changed the adapters separation from "","" to ""and"""|0
84|Add more mouse gestures for multi-cursor|1
85|Go Plugin: Show Method Type in Symbol Browser|1
86|PHP autocompletion: $_GET completes into $$_GET|1
87|Node error for Import saying no exports for files that use module.exports|-1
88|Console is difficult to work with on a small screen|-1
89|Add C/C++ support|1
91|Incorrect Breakpoint bindings when using source maps|-1
92|Unable to launch application on OSX|-1
93|Documentation issue for Extensions, LanguageServer|0
94|VSCode very slooow when opening minified css file|-1
95|ES6 support does not work|-1
96|Add support for Perl5 symbol indexing|1
97|Fix grunt task detector retrieving task names improperly|-1
98|Support user-wide installations|1
99|Type Definition imports not working for *.ts files|-1
100|GitHub link on page is broken|-1
101|Unsaved files should be preserved on quit (hot exit)|0
102|Environment variables are not being defined while debugging|0
103|Tabs don't update column counter|0
105|Enable code folding and collapsing|0
108|Feature: SSL Settings|0
113|[stylus] Add Stylus language support|0
115|Odd code in vscode/src/vs/editor/common/modes/lineStream.ts|0
117|RST language support|0
118|Support running extension tests through cmd line|0
119|TypeScript: Code styling broken when no EOL semi-colons|0
120|Polymorphic this (TS 1.7)|0
121|Add Python support|0
126|Mac Omnisharp Error on RC1|0
128|build fails on Windows|0
129|Unclosed Single/Double Quotes in Template Strings Break Syntax Highlighting|0
131|"[less] mixins ""{ expected"" errors"|0
135|代码提示功能还不行|0
137|install golang plugin failed|0
139|Crush if dragging a large file to open|0
141|Can VS code will support more theme or theme package?|0
143|"Request feature ""Integrated terminal"""|0
144|TextEdit[] returned from provideDocumentFormattingEdits doesn't behave correctly?|0
145|Bad Default/Regression: C++ .h headers colored as C files|0
150|Feature request: more complete git integration|0
151|Support undo and redo in input fields|0
152|Global Typings?|0
153|When can support Razor IntelliSense in ASP.NET 5?|0
154|Changes to Emmet snippets.json lost after update|0
155|How to install plugins behind a proxy with a self-signed certificate?|0
156|Find symbols, find references, format code does not work on Ubuntu 15.04|0
158|Snippet variables not detected after double backslash|0
160|Visual Studio Code is no longer responding|0
161|[php] missing user code auto-complete on 0.10.1|0
162|Typing in the editor is very laggy on Linux|0
163|Show the application window as soon as possible|0
167|Windows 10: window not put to foreground in all cases|0
168|Application Architecture|0
170|"""PreLaunchTask"" is not finished before the launching starts"|0
173|OSX El Capitan: Code crashes on quit when in split full-screen mode|0
175|Diff editor: restore the action to quickly toggle between inline and normal diff|0
178|Git status in File Explorer|0
180|Fix bug #103|0
181|Wrong multiline parenthesis indent (JS)|0
182|Debug: click on breakpoint does not focus editor if already opened|0
184|Wrong comment indent in multiline expressions (TS, JS)|0
189|Goto definition acts too early in some cases|0
193|OS X: no selection occurances in scrollbar (scroll-map) after ~260 lines|0
197|[Debug] Console HTTP links match incorrectly|0
198|Keybindings using brackets (eg. indent) doesn't work with a Danish keyboard layout on Mac OSX|0
204|"Integrate ""gulp whitespace-style"" in ""gulp watch"" & cont. build"|0
205|Feature Request: Mercurial Support|0
206|Feature Request: SVN Support|0
209|Small changes to improve document readabilty|1
213|Debug Console has lost highlighting in|0
214|Terminate an task by keyboard|0
216|[grammars] provide alternative to TextMate grammars|0
217|Support the ability to copy to clipboard in extensions|0
218|Webdav network drive not work|0
221|stdfork does not respect stderr|0
223|Please provide column selection cut and paste[feature request]|0
225|Crash|0
228|[debug] Console triggers bad/blurry Chrome antialising|0
230|Getting TypeScript errors in JavaScript files|0
231|Code completion breaks snippet flow|0
